week,closing price,opening price,trading volume,price change
1,7560.35,7555.32,672310000.0,0.0007
2,7432.99,7484.1,694700000.0,-0.0068
3,7380.68,7386.94,731960000.0,-0.0008
4,7409.64,7417.24,561890000.0,-0.001
5,7300.49,7326.67,865250000.0,-0.0036
6,7393.96,7320.75,1040000000.0,0.01
7,7490.57,7448.12,1220000000.0,0.0057
8,7592.66,7603.98,251370000.0,-0.0015
9,7687.77,7622.88,298180000.0,0.0085
10,7724.22,7695.88,655710000.0,0.0037
11,7778.64,7762.94,1170000000.0,0.002
12,7730.79,7700.96,820000000.0,0.0039
13,7665.54,7615.84,735670000.0,0.0065
14,7443.43,7490.39,898530000.0,-0.0063
15,7092.43,7170.69,955730000.0,-0.0109
16,7294.7,7234.81,671910000.0,0.0083
17,7244.41,7252.39,695740000.0,-0.0011
18,7069.9,7175.64,938590000.0,-0.0147
19,7224.51,7203.24,671260000.0,0.003
20,7164.14,7139.76,1420000000.0,0.0034
21,6921.94,6952.59,906200000.0,-0.0044
22,7056.61,7044.74,900250000.0,0.0017
23,7183.64,7199.5,676290000.0,-0.0022
24,7264.56,7258.34,677120000.0,0.0009
25,7368.17,7328.92,792270000.0,0.0054
26,7502.21,7421.43,773110000.0,0.0109
27,7567.14,7502.69,886340000.0,0.0086
28,7724.55,7700.97,754160000.0,0.0031
29,7778.79,7787.97,927550000.0,-0.0012
30,7730.28,7716.74,852470000.0,0.0018
31,7701.77,7678.2,807700000.0,0.0031
32,7681.07,7704.4,778850000.0,-0.003
33,7633.91,7765.79,1760000000.0,-0.017
34,7682.27,7556.44,738420000.0,0.0167
35,7636.93,7615.63,926730000.0,0.0028
36,7617.7,7603.22,684000000.0,0.0019
37,7661.87,7651.33,592170000.0,0.0014
38,7678.79,7683.97,706250000.0,-0.0007
39,7701.31,7663.17,788380000.0,0.005
40,7659.1,7575.93,670040000.0,0.011
41,7667.01,7741.77,684690000.0,-0.0097
42,7558.59,7556.38,621370000.0,0.0003
43,7577.49,7563.22,523570000.0,0.0019
44,7432.42,7516.03,838070000.0,-0.0111
45,7277.7,7318.96,889090000.0,-0.0056
46,7304.04,7281.57,595140000.0,0.0031
47,7490.23,7367.32,1550000000.0,0.0167
48,7510.2,7545.44,943920000.0,-0.0047
49,7318.54,7418.34,758630000.0,-0.0135
50,6995.91,7006.93,903680000.0,-0.0016
51,7049.8,7026.99,800350000.0,0.0032
52,6939.56,7004.1,803060000.0,-0.0092
53,7094.12,7114.66,824950000.0,-0.0029
54,7105.34,7140.68,672890000.0,-0.0049
55,7013.88,7038.01,1040000000.0,-0.0034
56,6952.86,6960.32,707660000.0,-0.0011
57,6980.24,7038.95,1220000000.0,-0.0083
58,6778.11,6704.05,845320000.0,0.011
59,6845.17,6877.5,736010000.0,-0.0047
60,6721.17,6711.93,1650000000.0,0.0014
61,6733.97,6584.68,515160000.0,0.0227
62,6837.42,6692.66,658880000.0,0.0216
63,6918.18,6942.87,701510000.0,-0.0036
64,6968.33,6834.92,820330000.0,0.0195
65,6809.22,6818.95,749990000.0,-0.0014
66,7020.22,6968.85,645350000.0,0.0074
67,7071.18,7093.58,548730000.0,-0.0032
68,7236.68,7197.01,709700000.0,0.0055
69,7178.6,7167.39,666720000.0,0.0016
70,7106.73,7074.73,722480000.0,0.0045
71,7104.31,7157.55,640780000.0,-0.0074
72,7228.28,7185.43,1380000000.0,0.006
73,7207.59,7355.31,716210000.0,-0.0201
74,7279.19,7234.33,818950000.0,0.0062
75,7446.87,7401.94,700980000.0,0.0061
76,7437.06,7417.95,718440000.0,0.0026
77,7459.88,7471.32,536600000.0,-0.0015
78,7428.19,7434.13,865750000.0,-0.0008
79,7380.64,7351.31,476580000.0,0.004
80,7203.29,7207.41,637290000.0,-0.0006
81,7348.62,7353.51,763920000.0,-0.0007
82,7277.73,7231.04,653150000.0,0.0065
83,7161.71,7218.16,870740000.0,-0.0078
84,7331.94,7259.85,610880000.0,0.0099
85,7345.78,7368.57,629600000.0,-0.0031
86,7407.5,7424.44,1490000000.0,-0.0023
87,7425.63,7402.33,730440000.0,0.0031
88,7553.14,7603.58,537930000.0,-0.0066
89,7505.97,7509.82,516640000.0,-0.0005
90,7508.7,7493.09,593420000.0,0.0021
91,7549.06,7489.05,799730000.0,0.008
92,7407.06,7584.87,1060000000.0,-0.0234
93,7253.85,7285.9,819380000.0,-0.0044
94,7117.15,7067.01,651940000.0,0.0071
95,7094.98,7128.18,643000000.0,-0.0047
96,7207.18,7184.32,727840000.0,0.0032
97,7282.34,7271.17,692280000.0,0.0015
98,7367.46,7344.67,1000000000.0,0.0031
99,7344.92,7356.42,1660000000.0,-0.0016
100,7426.21,7351.08,583850000.0,0.0102
101,7155.38,7077.64,588780000.0,0.011
102,7247.08,7186.36,1510000000.0,0.0084
103,7150.57,7182.32,869340000.0,-0.0044
104,7324.47,7328.25,580300000.0,-0.0005
105,7302.42,7248.38,582080000.0,0.0075
106,7359.38,7406.41,535070000.0,-0.0063
107,7302.94,7292.76,770470000.0,0.0014
108,7326.81,7238.55,611240000.0,0.0122
109,7346.53,7416.43,627330000.0,-0.0094
110,7239.66,7137.85,516370000.0,0.0143
111,7353.44,7273.47,1910000000.0,0.011
112,7582.48,7573.82,1160000000.0,0.0011
113,7644.9,7632.24,311110000.0,0.0017
114,7622.4,7604.3,449690000.0,0.0024
115,7587.85,7598.12,651310000.0,-0.0014
116,7674.56,7609.81,631970000.0,0.0085
117,7585.98,7507.67,605760000.0,0.0104
118,7286.01,7381.96,714040000.0,-0.013
119,7466.7,7504.79,705970000.0,-0.0051
120,7409.13,7452.03,629850000.0,-0.0058
121,7403.92,7436.64,872320000.0,-0.0044
122,6580.61,6796.4,1980000000.0,-0.0318
123,6462.55,6705.43,1380000000.0,-0.0362
124,5366.11,5237.48,1940000000.0,0.0246
125,5190.78,5151.61,2590000000.0,0.0076
126,5510.33,5815.73,1460000000.0,-0.0525
127,5415.5,5480.22,1180000000.0,-0.0118
128,5842.66,5677.73,1280000000.0,0.029
129,5786.96,5628.43,1200000000.0,0.0282
130,5752.23,5826.61,807870000.0,-0.0128
131,5763.06,5901.21,781330000.0,-0.0234
132,5935.98,5853.76,965870000.0,0.014
133,5799.77,5741.54,927430000.0,0.0101
134,5993.28,6015.25,985500000.0,-0.0037
135,6076.6,6218.79,2250000000.0,-0.0229
136,6484.3,6341.44,1400000000.0,0.0225
137,6105.18,6076.7,1060000000.0,0.0047
138,6292.6,6224.07,1680000000.0,0.011
139,6159.3,6147.14,698910000.0,0.002
140,6157.3,6240.36,504570000.0,-0.0133
141,6095.41,6049.62,684870000.0,0.0076
142,6290.3,6250.69,687100000.0,0.0063
143,6123.82,6211.44,679820000.0,-0.0141
144,5897.76,5989.99,1010000000.0,-0.0154
145,6032.18,6026.94,540970000.0,0.0009
146,6090.04,6185.62,513440000.0,-0.0155
147,6001.89,6013.34,545210000.0,-0.0019
148,5963.57,5999.99,917310000.0,-0.0061
149,5799.08,5850.86,672210000.0,-0.0088
150,6032.09,6003.32,532210000.0,0.0048
151,6007.05,6049.92,1610000000.0,-0.0071
152,5842.67,5822.78,742750000.0,0.0034
153,5902.12,5879.45,701240000.0,0.0039
154,6016.65,5978.03,676780000.0,0.0065
155,5919.58,5832.52,669810000.0,0.0149
156,5860.28,5785.65,852800000.0,0.0129
157,5577.27,5581.75,823610000.0,-0.0008
158,5910.02,5906.18,848480000.0,0.0007
159,6316.39,6338.94,960710000.0,-0.0036
160,6351.45,6334.35,821110000.0,0.0027
161,6367.58,6362.93,1440000000.0,0.0007
162,6550.23,6490.27,1070000000.0,0.0092
163,6546.75,6599.76,1070000000.0,-0.008
164,6529.18,6551.06,1200000000.0,-0.0033
165,6502.11,6495.75,477470000.0,0.001
166,6460.52,6555.82,316940000.0,-0.0145
167,6873.26,6856.96,850780000.0,0.0024
168,6735.71,6801.96,740670000.0,-0.0097
169,6695.07,6715.42,693960000.0,-0.003
170,6407.46,6526.15,870670000.0,-0.0182
171,6489.33,6503.72,984400000.0,-0.0022
172,6589.79,6528.72,490540000.0,0.0094
173,6624.02,6617.15,963920000.0,0.001
174,6483.43,6651.96,1280000000.0,-0.0253
175,6630.52,6650.88,1030000000.0,-0.0031
176,6761.47,6736.96,706130000.0,0.0036
177,6708.71,6779.68,1820000000.0,-0.0105
178,6740.59,6674.83,742300000.0,0.0099
179,6737.3,6713.63,592330000.0,0.0035
180,6915.75,6942.22,615050000.0,-0.0038
181,7019.53,6983.5,742510000.0,0.0052
182,6938.56,6938.24,535290000.0,0.0
183,6969.81,6961.48,831630000.0,0.0012
184,7129.71,7076.17,624300000.0,0.0076
185,7043.61,6963.33,845950000.0,0.0115
186,7018.05,7019.79,803610000.0,-0.0002
187,7022.61,7019.67,786610000.0,0.0004
188,7069.04,7064.35,425220000.0,0.0007
189,7134.06,7088.18,509040000.0,0.0065
190,7017.47,7153.43,1560000000.0,-0.019
191,7136.07,7109.97,609040000.0,0.0037
192,7123.27,7125.16,494810000.0,-0.0003
193,7121.88,7030.66,577540000.0,0.013
194,7008.09,7012.02,617560000.0,-0.0006
195,7027.58,6968.3,461680000.0,0.0085
196,7032.3,7078.42,674950000.0,-0.0065
197,7122.95,7120.43,677360000.0,0.0004
198,7218.71,7193.23,501180000.0,0.0035
199,7087.9,7058.86,549550000.0,0.0041
200,7148.01,7124.98,425080000.0,0.0032
201,7138.35,7163.9,499090000.0,-0.0036
202,7029.2,7024.21,492660000.0,0.0007
203,6963.64,7027.48,1630000000.0,-0.0091
204,7051.48,7078.35,817650000.0,-0.0038
205,7027.07,7086.42,815420000.0,-0.0084
206,7095.55,7078.04,704100000.0,0.0025
207,7234.03,7207.71,812230000.0,0.0037
208,7204.55,7190.3,482740000.0,0.002
209,7237.57,7249.47,874750000.0,-0.0016
210,7303.96,7279.91,751640000.0,0.0033
211,7347.91,7384.18,730840000.0,-0.0049
212,7223.57,7255.96,1140000000.0,-0.0045
213,7044.03,7310.37,1660000000.0,-0.0364
214,7122.32,7129.21,867110000.0,-0.001
215,7291.78,7321.26,533840000.0,-0.004
216,7269.92,7260.61,1400000000.0,0.0013
217,7372.1,7373.34,126010000.0,-0.0002
218,7384.54,7403.01,179340000.0,-0.0025
219,7485.28,7450.37,705190000.0,0.0047
220,7542.95,7563.85,790080000.0,-0.0028
221,7494.13,7585.01,818940000.0,-0.012
222,7466.07,7554.31,1530000000.0,-0.0117
223,7516.4,7528.84,883700000.0,-0.0017
224,7661.02,7672.4,909140000.0,-0.0015
225,7513.62,7537.37,768990000.0,-0.0032
226,7489.46,7207.38,1370000000.0,0.0391
227,6987.14,7238.85,1560000000.0,-0.0348
228,7155.64,7099.09,973200000.0,0.008
229,7404.73,7385.34,2270000000.0,0.0026
230,7483.35,7467.38,866850000.0,0.0021
231,7537.9,7515.68,811320000.0,0.003
232,7669.56,7551.81,919250000.0,0.0156
233,7616.38,7580.8,1010000000.0,0.0047
234,7521.68,7627.95,694600000.0,-0.0139
235,7544.55,7509.19,980480000.0,0.0047
236,7387.94,7503.27,1090000000.0,-0.0154
237,7418.15,7233.34,871810000.0,0.0255
238,7389.98,7302.74,789830000.0,0.0119
239,7585.46,7564.92,705200000.0,0.0027
240,7532.95,7607.66,728800000.0,-0.0098
241,7317.52,7476.21,911370000.0,-0.0212
242,7016.25,7044.98,1900000000.0,-0.0041
243,7208.81,7020.45,771050000.0,0.0268
244,7168.65,7169.28,676870000.0,-0.0001
245,7196.24,7189.08,604180000.0,0.001
246,7159.01,7039.81,782830000.0,0.0169
247,7276.37,7270.51,606880000.0,0.0008
248,7423.43,7345.25,883360000.0,0.0106
249,7439.74,7448.06,598720000.0,-0.0011
250,7500.89,7465.91,497630000.0,0.0047
251,7550.37,7541.85,698780000.0,0.0011
252,7427.31,7479.74,627200000.0,-0.007
253,7281.19,7148.5,820840000.0,0.0186
254,7351.07,7262.06,703940000.0,0.0123
255,7236.68,7282.07,2140000000.0,-0.0062
256,7018.6,7159.52,971110000.0,-0.0197
257,6893.81,6881.59,1170000000.0,0.0018
258,6991.09,6997.27,769470000.0,-0.0009
259,6858.79,6850.27,881170000.0,0.0012
260,6969.73,6943.91,668390000.0,0.0037
261,7047.67,7073.69,683670000.0,-0.0037
262,7334.84,7188.63,907020000.0,0.0203
263,7318.04,7375.34,931070000.0,-0.0078
264,7385.52,7346.54,844250000.0,0.0053
265,7486.67,7466.6,501390000.0,0.0027
266,7556.23,7558.49,540210000.0,-0.0003
267,7476.63,7472.17,669400000.0,0.0006
268,7332.12,7426.17,1830000000.0,-0.0127
269,7473.01,7469.28,222850000.0,0.0005
270,7451.74,7512.72,253960000.0,-0.0081
271,7699.49,7633.45,787760000.0,0.0087
272,7844.07,7794.04,752680000.0,0.0064
273,7770.59,7747.29,801060000.0,0.003
274,7765.15,7761.11,709920000.0,0.0005
275,7901.8,7820.16,713860000.0,0.0104
276,7882.45,7911.15,974190000.0,-0.0036
277,8004.36,8012.53,1270000000.0,-0.001
278,7878.66,7907.72,877160000.0,-0.0037
279,7947.11,7944.04,640580000.0,0.0004
280,7748.35,7879.98,970830000.0,-0.0167
281,7335.4,7410.03,2090000000.0,-0.0101
282,7405.45,7499.6,859010000.0,-0.0126
283,7631.74,7620.43,815850000.0,0.0015
284,7741.56,7662.94,589450000.0,0.0103
285,7871.91,7843.38,859070000.0,0.0036
286,7914.13,7902.61,627240000.0,0.0015
287,7870.57,7831.58,942970000.0,0.005
288,7778.38,7778.38,607790000.0,0.0098
289,7754.62,7730.58,744750000.0,0.0031
290,7756.87,7742.3,631100000.0,0.0019
291,7627.2,7570.87,687530000.0,0.0074
292,7607.28,7490.27,632690000.0,0.0156
293,7562.36,7599.74,562140000.0,-0.0049
294,7642.72,7628.26,2010000000.0,0.0019
295,7461.87,7502.03,620870000.0,-0.0054
296,7531.53,7471.69,729200000.0,0.008
297,7256.94,7280.5,493780000.0,-0.0032
298,7434.57,7440.21,497560000.0,-0.0008
299,7663.73,7646.05,506400000.0,0.0023
300,7694.27,7692.76,710940000.0,0.0002
301,7564.37,7529.16,503240000.0,0.0047
302,7524.16,7618.6,487000000.0,-0.0124
303,7262.43,7310.21,571460000.0,-0.0065
304,7338.58,7333.63,363800000.0,0.0007
305,7464.54,7439.13,680280000.0,0.0034
306,7478.19,7441.72,651300000.0,0.0049
307,7711.38,7673.08,1800000000.0,0.005
308,7683.91,7678.62,984620000.0,0.0007
309,7608.08,7601.85,633590000.0,0.0008
310,7494.58,7451.54,611660000.0,0.0058
311,7599.6,7644.78,567090000.0,-0.0059
312,7402.14,7499.53,832450000.0,-0.013
313,7291.28,7354.57,642460000.0,-0.0086
314,7417.73,7446.53,750570000.0,-0.0039
315,7360.55,7455.67,833640000.0,-0.0128
316,7504.25,7410.97,667070000.0,0.0126
317,7488.2,7483.58,528510000.0,0.0006
318,7529.35,7453.75,549090000.0,0.0101
319,7554.47,7513.72,779760000.0,0.0054
320,7576.36,7648.98,1580000000.0,-0.0095
